"SATCO PRODUCTS - NUVO LIGHTING - PRICE FILE AS OF NOVEMBER 3, 2025",,,,,,,,,
ALL ITEMS QUOTED ARE SUBJECT TO A PRICE CHANGE SHOULD IMPORT TARIFFS INCREASE.,,,,,,,,,
ITEM,DESCRIPTION,INN PK,CASE PK,EA $,CASE$,MOQ,Each UPC Code,IMAP$,ITEM-EDI SKU
S1904-TF,8 Watt; T5; Preheat Fluorescent; 4000K Cool White; 62 CRI; Miniature Bi Pin base; Shatter Proof,10,500,$10.35,$10.35,,None,No IMAP,S1904/TF
S1905,8 Watt; T5; Preheat Fluorescent; 3000K Warm White; 52 CRI; Miniature Bi Pin base,10,500,$1.75,$1.60,,045923019050,No IMAP,S1905
S1905-TF,8 Watt; T5; Preheat Fluorescent; 3000K Warm White; 52 CRI; Miniature Bi Pin base; Shatter Proof,10,500,$10.45,$10.45,,None,No IMAP,S1905/TF
S1906,13 Watt; T5; Preheat Fluorescent; 4200K Cool White; 62 CRI; Miniature Bi Pin base,10,200,$2.65,$2.40,,045923019067,No IMAP,S1906
S1906-TF,13 Watt; T5; Preheat Fluorescent; 4200K Cool White; 62 CRI; Miniature Bi Pin base; Shatter Proof,10,200,$10.20,$10.20,,None,No IMAP,S1906/TF
S1907,13 Watt; T5; Preheat Fluorescent; 3000K Warm White; 52 CRI; Miniature Bi Pin base,10,200,$2.65,$2.40,,045923019074,No IMAP,S1907
S1907-TF,13 Watt; T5; Preheat Fluorescent; 3000K Warm White; 52 CRI; Miniature Bi Pin base; Shatter Proof,10,200,$10.20,$10.20,,None,No IMAP,S1907/TF
S1908,10 Watt; Halogen; T3; Frosted; 2000 Average rated hours; 108 Lumens; Bi Pin G4 base; 12 Volt,48,960,$2.05,$1.60,,045923019081,No IMAP,S1908
S1914,50 Watt; Halogen; T4; Frosted; 2000 Average rated hours; 675 Lumens; Mini Candelabra base; 120 Volt,12,480,$4.35,$3.90,,045923019142,No IMAP,S1914
S1915,75 Watt; Halogen; T4; Frosted; 2000 Average rated hours; 1125 Lumens; Mini Candelabra base; 120 Volt,12,480,$4.45,$4.10,,045923019159,No IMAP,S1915
S1916,100 Watt; Halogen; T4; Frosted; 2000 Average rated hours; 1530 Lumens; Mini Candelabra base; 120 Volt,12,480,$4.45,$4.10,,045923019166,No IMAP,S1916
S1917,150 Watt; Halogen; T4 1/2; Frosted; 2000 Average rated hours; 2430 Lumens; Mini Candelabra base; 120 Volt,12,480,$4.45,$4.10,,045923019173,No IMAP,S1917
S1918,250 Watt; Halogen; T4 1/2; Frosted; 2000 Average rated hours; 3780 Lumens; Mini Candelabra base; 120 Volt,12,480,$4.45,$4.10,,045923019180,No IMAP,S1918
S1921,150 Watt; Halogen; T4 1/2; Frosted; 2000 Average rated hours; 2430 Lumens; DC Bay base; 120 Volt,12,480,$4.45,$4.10,,045923019210,No IMAP,S1921
S1925,300 Watt; Halogen; T3; Clear; 1500 Average rated hours; 5300 Lumens; Double Ended base; 130 Volt,12,480,$1.75,$1.35,,045923019258,No IMAP,S1925
S1926,500 Watt; Halogen; T3; Clear; 1500 Average rated hours; 9500 Lumens; Double Ended base; 130 Volt,12,480,$1.75,$1.35,,045923019265,No IMAP,S1926
S1927,200 Watt; High Pressure Sodium HID; Mogul base; ET18; Clear; 22 CRI; 2100K,,12,$12.50,$11.10,,045923019272,No IMAP,S1927
S1928,1000 Watt; High Pressure Sodium HID; Mogul base; ET25; Clear; 22 CRI; 2100K,,12,$34.80,$33.40,,045923019289,No IMAP,S1928
S1929,50 Watt; High Pressure Sodium HID; Mogul base; ET23 1/2; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019296,No IMAP,S1929
S1930,70 Watt; High Pressure Sodium HID; Mogul base; ET23 1/2; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019302,No IMAP,S1930
S1931,100 Watt; High Pressure Sodium HID; Mogul base; ET23 1/2; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019319,No IMAP,S1931
S1932,150 Watt; High Pressure Sodium HID; Mogul base; ED23 1/2; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019326,No IMAP,S1932
S1932-TF,150 Watt; High Pressure Sodium HID; Mogul base; ED23 1/2; Clear; 22 CRI; 2100K; Shatter Proof,,12,$23.70,$23.70,,None,No IMAP,S1932/TF
S1940,250 Watt; High Pressure Sodium HID; Mogul base; ET18; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019401,No IMAP,S1940
S1940-TF,250 Watt; High Pressure Sodium HID; Mogul base; ET18; Clear; 22 CRI; 2100K; Shatter Proof,,12,$27.90,$27.90,,None,No IMAP,S1940/TF
S1941,400 Watt; High Pressure Sodium HID; Mogul base; ET18; Clear; 22 CRI; 2100K,,12,$13.20,$11.80,,045923019418,No IMAP,S1941
S1941-TF,400 Watt; High Pressure Sodium HID; Mogul base; ET18; Clear; 22 CRI; 2100K; Shatter Proof,,12,$27.90,$27.90,,None,No IMAP,S1941/TF
S1950,20 Watt; Halogen; MR11; FTD/C; 2000 Average rated hours; Sub Miniature 2 Pin base; 12 Volt,12,240,$3.40,$3.00,,045923019500,No IMAP,S1950
S1950-TF,20 Watt; Halogen; MR11; FTD/C; 2000 Average rated hours; Sub Miniature 2 Pin base; 12 Volt; Shatter Proof,12,240,$15.35,$15.35,,None,No IMAP,S1950/TF
S1951,35 Watt; Halogen; MR11; FTH/C; 2000 Average rated hours; Sub Miniature 2 Pin base; 12 Volt,12,240,$3.75,$3.30,,045923019517,No IMAP,S1951
S1952,20 Watt; Halogen; MR11; FSV/C; 2000 Average rated hours; DC Bay base; 12 Volt,12,240,$4.00,$3.55,,045923019524,No IMAP,S1952
S1952-TF,20 Watt; Halogen; MR11; FSV/C; 2000 Average rated hours; DC Bay base; 12 Volt; Shatter Proof,12,240,$9.20,$9.20,,None,No IMAP,S1952/TF
S1956,20 Watt; Halogen; MR16; BAB; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt,12,240,$1.85,$1.45,,045923019562,No IMAP,S1956
S1956-TF,20 Watt; Halogen; MR16; BAB; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt; Shatter Proof,12,240,$7.65,$7.65,,None,No IMAP,S1956/TF
S1957,20 Watt; Halogen; MR16; ESX; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt,12,240,$1.85,$1.45,,045923019579,No IMAP,S1957
S1966,20 Watt; Halogen; MR16; BAB/C; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt,12,240,$2.45,$2.05,,045923019661,No IMAP,S1966
S1966-TF,20 Watt; Halogen; MR16; BAB/C; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt; Shatter Proof,12,240,$10.85,$10.85,,None,No IMAP,S1966/TF
S1967,20 Watt; Halogen; MR16; ESX/C; 2000 Average rated hours; Miniature 2 Pin Round base; 12 Volt,12,240,$2.45,$2.05,,045923019678,No IMAP,S1967
S1976,20 Watt; Halogen; MR16; 2000 Average rated hours; Miniature 2 Pin Round base; 120 Volt,12,240,$4.85,$4.20,,045923019760,No IMAP,S1976
S1977,35 Watt; Halogen; MR16; 2000 Average rated hours; Miniature 2 Pin Round base; 120 Volt,12,240,$4.60,$4.20,,045923019777,No IMAP,S1977
S1979,35 Watt; Halogen; T4; Clear; 2000 Average rated hours; 380 Lumens; DC Bay base; 120 Volt,12,480,$3.90,$3.50,,045923019791,No IMAP,S1979
S1981,50 Watt; Halogen; T4; Clear; 2000 Average rated hours; 750 Lumens; DC Bay base; 120 Volt,12,480,$3.90,$3.50,,045923019814,No IMAP,S1981
S1982,50 Watt; Halogen; T4; Frosted; 2000 Average rated hours; 675 Lumens; DC Bay base; 120 Volt,12,480,$4.35,$3.90,,045923019821,No IMAP,S1982
S1986,20 Watt; Halogen; T3; Clear; 2000 Average rated hours; 260 Lumens; Bi Pin G4 base; 24 Volt,48,960,$4.20,$3.60,,045923019869,No IMAP,S1986
S1987,50 Watt; Halogen; T4; Clear; 2000 Average rated hours; 900 Lumens; Bi Pin GY6.35 base; 24 Volt,48,960,$4.20,$3.60,,045923019876,No IMAP,S1987
S1992,20 Watt; Halogen; MR16; BAB/C; 2000 Average rated hours; Miniature 2 Pin Round base; 24 Volt,12,240,$4.90,$4.20,,045923019920,No IMAP,S1992
S1999,6 Watt; T5; Preheat Fluorescent; 4000K Cool White; 62 CRI; Miniature Bi Pin base; 25pk,,500,$1.56,$1.44,,045923019999,No IMAP,S1999
S2006,Candelabra Base; 130 Volt; Ceramic White Finish,,,$3.47,$3.47,,045923020063,No IMAP,S2006
S2007,2.4 Watt; T4.5; Candelabra Base; Neon Glow Bulb,,,$5.43,$5.43,,045923020070,No IMAP,S2007
S2399,3 Watt miniature; T3 1/4; 1000 Average rated hours; Festoon base; 24 Volt,,50,$1.85,$1.75,,045923023996,No IMAP,S2399
S2411,25 Watt A19 Incandescent; Clear; 3000 Average rated hours; 100 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024115,No IMAP,S2411
S2412,40 Watt A19 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024122,No IMAP,S2412
S2413,40 Watt ST19 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024139,No IMAP,S2413
S2414,40 Watt ST19 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024146,No IMAP,S2414
S2415,20 Watt T9 Incandescent; Clear; 3000 Average rated hours; 80 Lumens; Medium base; 120 Volt,6,48,$5.50,$4.60,,045923024153,No IMAP,S2415
S2416,40 Watt T14 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,10,50,$5.80,$4.80,,045923024160,No IMAP,S2416
S2417,40 Watt T14 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,10,50,$4.50,$4.30,,045923024177,No IMAP,S2417
S2418,25 Watt CA8 Incandescent; Clear; 3000 Average rated hours; 100 Lumens; Candelabra base; 120 Volt,10,50,$3.60,$3.00,,045923024184,No IMAP,S2418
S2419,60 Watt A19 Incandescent; Clear; 3000 Average rated hours; 240 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024191,No IMAP,S2419
S2420,40 Watt T9 Incandescent; Clear Gold; 3000 Average rated hours; 160 Lumens; Candelabra base; 120 Volt,10,50,$4.50,$4.30,,045923024207,No IMAP,S2420
S2421,40 Watt T9 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,10,50,$4.50,$4.30,,045923024214,No IMAP,S2421
S2422,60 Watt T9 Incandescent; Clear; 3000 Average rated hours; 230 Lumens; Medium base; 120 Volt,10,50,$4.50,$4.30,,045923024221,No IMAP,S2422
S2423,60 Watt ST19 Incandescent; Clear; 3000 Average rated hours; 240 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024238,No IMAP,S2423
S2424,40 Watt A15 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,10,50,$4.50,$4.30,,045923024245,No IMAP,S2424
S2425,40 Watt G25 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,6,48,$4.50,$4.30,,045923024252,No IMAP,S2425
S2426,40 Watt T9 Incandescent; Clear; 3000 Average rated hours; 160 Lumens; Medium base; 120 Volt,6,48,$5.50,$5.50,,045923024269,No IMAP,S2426
S2430,60 Watt T24 Incandescent vintage style; Amber; 2000 Average rated hours; Medium Base; 120 Volt,,12,$18.43,$18.43,,045923024306,No IMAP,S2430
S2431,100 Watt BT38 Incandescent vintage style; Amber; 2000 Average rated hours; Medium Base; 120 Volt,,12,$18.43,$18.43,,045923024313,No IMAP,S2431
S2432,60 Watt BT56 Incandescent vintage style; Amber; 2000 Average rated hours; Medium Base; 120 Volt,,6,$18.43,$18.43,,045923024320,No IMAP,S2432
S2433,60 Watt PS52 Incandescent vintage style; Amber; 2000 Average rated hours; Medium Base; 120 Volt,,6,$18.43,$18.43,,045923024337,No IMAP,S2433
S2703,25 Watt C11 Incandescent; Spun White; 4000 Average rated hours; 160 Lumens; Candelabra base; 120 Volt; Carded,12,120,$2.35,$2.12,,045923027031,No IMAP,S2703
S2706,25 Watt C11 Incandescent; Spun Amber; 4000 Average rated hours; Candelabra base; 120 Volt; Carded,12,120,$2.47,$2.24,,045923027062,No IMAP,S2706
S2713,25 Watt C15 Incandescent; Spun White; 4000 Average rated hours; 160 Lumens; Medium base; 120 Volt; Carded,12,120,$2.47,$2.24,,045923027130,No IMAP,S2713
S2714,40 Watt C15 Incandescent; Spun White; 4000 Average rated hours; 316 Lumens; Medium base; 120 Volt; Carded,12,120,$2.55,$2.30,,045923027147,No IMAP,S2714
S2716,40 Watt C15 Incandescent; Spun Amber; 4000 Average rated hours; Medium base; 120 Volt; Carded,12,120,$2.55,$2.30,,045923027161,No IMAP,S2716
S2731,3.8 Watt miniature; T3 1/4; 2500 Average rated hours; Mini Wedge base; 14 Volt,,10,$1.82,$1.82,,045923027314,No IMAP,S2731
S2732,26.9 Watt miniature; S8; 1200 Average rated hours; Single Contact Bayonet base; 12.8 Volt,,10,$2.24,$2.24,,045923027321,No IMAP,S2732
S2733,26.88/8.26 Watt miniature; S8; 1200/5000 Average rated hours; Double Contact Bayonet base; 12.8/14 Volt; 2-Card,,10,$2.24,$2.24,,045923027338,No IMAP,S2733
S2734,26.88/8.26 Watt miniature; S8; 1200/5000 Average rated hours; Double Contact Bayonet base; 12.8/14 Volt; 2-Card,,10,$6.58,$6.58,,045923027345,No IMAP,S2734
S2735,3.78 Watt miniature; G4-1/2; 2000 Average rated hours; Miniature Bayonet base; 14 Volt; 2-Card,,10,$1.89,$1.89,,045923027352,No IMAP,S2735
S2736,26.88/6.72 Watt miniature; S8; 1200/5000 Average rated hours; Double Contact Bayonet base; 12.8/14 Volt; 2-Card,,10,$2.42,$2.42,,045923027369,No IMAP,S2736
S2737,26.88/6.72 Watt miniature; S8; 1200/5000 Average rated hours; Double Contact Bayonet base; 12.8/14 Volt; 2-Card,,10,$9.80,$9.80,,045923027376,No IMAP,S2737
S2738,26.88/6.72 Watt miniature; S8; 1200/5000 Average rated hours; DF Plastic Wedge base; 12.8/14 Volt; 2-Card,,10,$4.62,$4.62,,045923027383,No IMAP,S2738
S2739,26.88/8.26 Watt miniature; S8; 1200/5000 Average rated hours; DF Plastic Wedge base; 12.8/14 Volt; 2-Card,,10,$3.78,$3.78,,045923027390,No IMAP,S2739
S2740,40 Watt A15 Incandescent; Clear; Appliance Lamp; 1000 Average rated hours; 420 Lumens; Candelabra base; 120 Volt; 2-Card,10,120,$1.70,$1.60,,045923027406,No IMAP,S2740
S2741,40 Watt A15 Incandescent; Frost; Appliance Lamp; 1000 Average rated hours; 420 Lumens; Candelabra base; 120 Volt; 2-Card,10,120,$1.70,$1.60,,045923027413,No IMAP,S2741
S2744,40 Watt A15 Incandescent; Clear; Appliance Lamp; 1000 Average rated hours; 420 Lumens; Intermediate base; 120 Volt; 2-Card,10,120,$1.80,$1.65,,045923027444,No IMAP,S2744
S2745,40 Watt A15 Incandescent; Frost; Appliance Lamp; 1000 Average rated hours; 420 Lumens; Intermediate base; 120 Volt; 2-Card,10,120,$1.80,$1.65,,045923027451,No IMAP,S2745
S2750,30 Watt T7 Incandescent; Clear; Intermediate base; 130 Volt,50,500,$2.42,$2.42,,045923027505,No IMAP,S2750
S2751,20 Watt T7 Incandescent; Clear; Candelabra base; 130 Volt,50,500,$1.16,$1.16,,045923027512,No IMAP,S2751
S2752,25 Watt T7 Incandescent; Clear; Candelabra base; 130 Volt,50,500,$1.63,$1.63,,045923027529,No IMAP,S2752
S2755,Candelabra Base; 145 Volt; S6,,10,$2.76,$2.76,,045923027550,No IMAP,S2755
S2775,13 Watt G16 1/2 Decorative Light; Bayonet Single Contact Base; 12 Volts; Frosted,,,$3.12,$3.12,,None,No IMAP,S2775
S2776,13 Watt G16 1/2 Decorative Light; Bayonet Single Contact Base; 12 Volts; Clear,,,$3.12,$3.12,,045923027765,No IMAP,S2776
S2783,FS/U; 120 Volt,25,2000,$0.79,$0.79,,045923027833,No IMAP,S2783
S2784,FS/22 Starter with condensor; 22W; 22 WATT CIRCLINES,25,2000,$0.71,$0.71,,045923027840,No IMAP,S2784
S2786,"FS/2 Starter with condensor; 14, 15, 20W",25,2000,$0.71,$0.71,,045923027864,No IMAP,S2786
S2787,FS/4 Starter with condensor; 30/40W,25,2000,$0.71,$0.71,,045923027871,No IMAP,S2787
S2788,"FS/5 Starter with condensor; 4, 6, 8W",25,2000,$0.71,$0.71,,045923027888,No IMAP,S2788
S2789,FS/12 Starter 32W Circline,25,2000,$0.71,$0.71,,045923027895,No IMAP,S2789
S2810,30 Watt R20 Incandescent; Frost; 2000 Average rated hours; 185 Lumens; Medium base; 130 Volt,12,96,$1.60,$1.30,,045923028106,No IMAP,S2810
S2810-TF,30 Watt R20 Incandescent; Frost; 2000 Average rated hours; 185 Lumens; Medium base; 130 Volt; Shatter Proof,12,96,$8.25,$8.25,,None,No IMAP,S2810/TF
S2814,0.5 Watt; 12 Volts; E10 Base; T3-1/4,,,$8.95,$8.95,,None,No IMAP,S2814
S2829,150 Watt PAR46; Halogen; Screw terminal base; Very Narrow Spot; 36 volt,6,12,$19.26,$19.26,,045923028298,No IMAP,S2829
S2838,1.6 Watt T5 LED; 3000K; 12 Volt; Wedge Base; 120 Beam Angle,,,$7.91,$7.91,,045923020599,No IMAP,S2838
S2840,40 Watt A15 Incandescent; Clear; Appliance Lamp; 2500 Average rated hours; 300/225 Lumens; Medium base; 130/120 Volt; Teflon/PFA Shatterproof,25,500,$3.25,$3.25,,045923028403,No IMAP,S2840
S2846,2 Watt LED Festoon; 12 Volts; 5000K; Frosted Finish,,,$7.30,$7.30,,None,No IMAP,S2846
S2847,2 Watt LED Festoon; 12 Volts; 3000K; Clear Finish,,,$7.30,$7.30,,None,No IMAP,S2847
S2848,2 Watt LED Festoon; 12 Volts; 3000K; Frost Finish,,,$7.30,$7.30,,None,No IMAP,S2848
S2850,50 Watt R20 Incandescent; Grow; 2000 Average rated hours; Medium base; 120 Volt,12,96,$2.70,$2.45,,045923028502,No IMAP,S2850
S2852,150 Watt R30 Incandescent; Grow; 2000 Average rated hours; Medium base; 120 Volt,12,96,$3.40,$3.05,,045923028526,No IMAP,S2852
S2884,Candelabra Base; 120 Volt; Ceramic; Red Finish,,,$3.47,$3.47,,045923028847,No IMAP,S2884
S2898,FS/25 Starter with condensor; 25W; FSV25 FS1P 42513 42512,25,2000,$0.71,$0.71,,045923028984,No IMAP,S2898
S2903,13 Watt; T2; Subminiature Fluorescent; 3500K Neutral White; 80 CRI; Axial base; 20-Pack,20,20,$20.65,$19.25,,046135262913,No IMAP,S2903
S2904,4 Watt; T5; Black light Fluorescent; Miniature Bi Pin base,,20,$5.10,$3.80,,None,No IMAP,S2904
S2905,6 Watt; T5; Black light Fluorescent; Miniature Bi Pin base,,20,$5.10,$3.80,,045923029059,No IMAP,S2905
S2906,8 Watt; T5; Black light Fluorescent; Miniature Bi Pin base,,20,$4.06,$2.96,,045923029066,No IMAP,S2906
S2907,6 Watt; T5; Black light Blue Fluorescent; Miniature Bi Pin base,,20,$8.85,$7.55,,None,No IMAP,S2907
S2910,8 Watt; T5; Preheat Fluorescent; 6500K Daylight; 76 CRI; Miniature Bi Pin base,,500,$1.85,$1.75,,045923029103,No IMAP,S2910
S2911,13 Watt; T5; Preheat Fluorescent; 6500K Daylight; 76 CRI; Miniature Bi Pin base,,200,$2.80,$2.50,,045923029110,No IMAP,S2911
S2917,32 Watt; T8; Fluorescent; 4100K Cool White; 85 CRI; Medium Bi Pin base,,30,$6.85,$5.85,,046135217678,No IMAP,S2917
S2917-TF,32 Watt; T8; Fluorescent; 4100K Cool White; 85 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S2917/TF
S2919,32 Watt; T8; Fluorescent; 5000K Natural Light; 80 CRI; Medium Bi Pin base,,30,$5.05,$3.65,,046135221439,No IMAP,S2919
S2919-TF,32 Watt; T8; Fluorescent; 5000K Natural Light; 80 CRI; Medium Bi Pin base; Shatter Proof,,30,$12.35,$12.35,,None,No IMAP,S2919/TF
S2920,32 Watt; T8; Fluorescent; 5000K Natural Light; 85 CRI; Medium Bi Pin base,,30,$6.85,$5.85,,046135220265,No IMAP,S2920
S2920-TF,32 Watt; T8; Fluorescent; 5000K Natural Light; 85 CRI; Medium Bi Pin base; Shatter Proof,,30,$16.50,$16.50,,None,No IMAP,S2920/TF
S2926,40 Watt; T12; Black light Fluorescent; Medium Bi Pin base,,30,$9.09,$8.03,,045923029264,No IMAP,S2926
S2977,40 Watt T8 Incandescent; Clear; 2000 Average rated hours; 265 Lumens; Medium base; 130 Volt,25,250,$7.25,$6.05,,045923029776,No IMAP,S2977
S2978,60 Watt T8 Incandescent; Clear; 2000 Average rated hours; 425 Lumens; Medium base; 130 Volt,25,250,$7.25,$6.05,,045923029783,No IMAP,S2978
