bulb-silvered-anti-glare-g25,TRUE,active,BLEDG25SIL4.5,4.5 watt LED,,20,12.00,3.95,$79.00,56.9995512,"BULB: GLOBE STYLE WITH SILVERED ANTI-GLARE, LED AND INCANDESCENT",Sundial Wire,Home & Garden > Lighting > Light Bulbs,Bulbs,"anti-glare bulbs, bulbs, incandescent, lamp parts, medium base","<div id=""product-detail"">
<p>This light bulb is 4"" tall, available in both 4.5 watt LED and 40 watt incandescent, both with the top half of the bulb silvered to provide protection from glare when the bulb hangs from a shade that is open at the bottom.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4""<br>Bulb Type: G25<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Style,,,,,,,shopify,continue,manual,,TRUE,TRUE,a19,silver; clear,,oz,
bulb-led-edison-style-amber,,active,BLEDST19AMB6.5,6.5 watts,,5,13.90,,$0.00,85.04856938,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-edison-style-amber,TRUE,active,BLEDST19AMBS4.5,4.5 watts,,12,11.90,,$0.00,85.04856938,BULB: EDISON STYLE WITH LED FILAMENT,Sundial Wire,Home & Garden > Lighting > Light Bulbs > LED Light Bulbs,Bulbs,"bulbs, LED, medium base","<div id=""product-detail"">
<p>This is a classic Edison style bulb, 5.5"" tall, available in 4.5 and 6.5 watts with an LED filament and an amber glaze for a lovely soft light. The light output is approximately equivalent to 40 and 60 watts respectively in an incandescent bulb.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. For the porcelain socket, please see the related products listed below or go to <a href=""/products/socket-flush-mount-porcelain-sign-receptacle-style"">SOCKET: PORCELAIN FLUSH MOUNT SIGN RECEPTABLE STYLE</a>. for the wire, go to <a href=""/collections/twisted-pair-wire"">Twisted Pair Wire</a> in the table of contents.</p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 5.5""<br>Bulb Life: 15,000 hours<br>Bulb Type: ST19<br>Color Temp: 2000K<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Watts,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-tube-style,TRUE,active,BLEDT104.5,Default Title,,12,11.00,,$0.00,85.04856938,BULB: TUBE STYLE WITH LED FILAMENT,Sundial Wire,Home & Garden > Lighting > Light Bulbs > LED Light Bulbs,Bulbs,"bulbs, lamp parts, LED, medium base","<div id=""product-detail"">
<p>This is a classic tube style bulb, 5"" tall, 4.5 watts with no glaze and an LED filament. The light output is approximately equivalent to 40 watts in an incandescent bulb.</p>
<p>This bulb can be used with any medium base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 3.5""<br>Bulb Life: 15,000 hours<br>Bulb Type: T10<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-candelabra-tube-style,TRUE,active,BLEDT6AMB2.5,amber glaze,,12,7.00,,$0.00,42.52428469,"BULB: TUBE STYLE WITH LED FILAMENT, CANDELABRA BASE",Sundial Wire,Home & Garden > Lighting > Light Bulbs,Bulbs,"bulbs, candelabra base, lamp parts, LED, Vintage Edison Style Candelabra Bulbs","<div id=""product-detail"">
<p>This is a classic tube style bulb, 3.5"" tall, available in an amber finish and no glaze (clear), both with an LED filament for a lovely soft light. The light output is approximately equivalent to 15 watts in an incandescent bulb.</p>
<p>This bulb can be used with any candelabra base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown.</p>
<p>Also, the bulb life in hours is given to us by the manufacturer. We make no guarantees that the bulb will burn that number of hours and we don't know the accuracy of the claim.</p>
<h2>Attributes</h2>
<p>Bulb Base: candelabra<br>Bulb Length: 3.5""<br>Bulb Life: 15,000 hours<br>Bulb Type: T6<br>Watts: 2.5<br>Lumens: 200 (clear) 150 (amber)<br>Color Temp: 2700K (clear) 2000K (amber)<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Glaze,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-candelabra-torpedo-style-amber-3-5w,TRUE,active,BLEDT6AMB3.5,Default Title,,105,8.00,,$0.00,42.52428469,"BULB: TORPEDO STYLE WITH LED FILAMENT, 3.5W, AMBER FINISH, CANDELABRA BASE",Sundial Wire,Home & Garden > Lighting > Light Bulbs > LED Light Bulbs,Bulbs,"bulbs, candelabra base, lamp parts, LED, Vintage Edison Style Candelabra Bulbs","<div id=""product-detail"">
<p>This is a classic torpedo style bulb, 4"" tall, 3.5 watts with an LED filament and an amber glaze for a lovely soft light. The light output is approximately equivalent to 40 watts in an incandescent bulb.</p>
<p>This bulb can be used with any candelabra base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown.</p>
<p>Also, the bulb life in hours is given to us by the manufacturer. We make no guarantees that the bulb will burn that number of hours and we don't know the accuracy of the claim.</p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4""<br>Bulb Life: 15,000 hours<br>Color Temp: 2000K<br>Bulb Type: C11<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-led-candelabra-tube-style,,active,BLEDT6CL2.5,no glaze (clear),,9,5.50,,$0.00,42.52428469,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-edison-style-cage-filament,TRUE,active,BST19CG40,40 watts,,168,7.50,,$0.00,85.00037519,BULB: EDISON STYLE WITH CAGE FILAMENT,Sundial Wire,Home & Garden > Lighting > Light Bulbs > Incandescent Light Bulbs,Bulbs,"bulbs, incandescent, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a classic Edison style bulb, clear, 5"" tall, available in 40 and 60 watts with cage style tungsten filament.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. For those products, please go to <a href=""/collections/lamp-parts"">Lamp Parts</a> in the table of contents.</p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 5""<br>Bulb Life: 3,000 hours<br>Bulb Type: ST19<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Watts,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-edison-style-cage-filament,,active,BST19CG60,60 watts,,40,7.50,,$0.00,85.00037519,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-edison-style-hairpin-filament-40w,TRUE,active,BST19HP40,Default Title,,353,7.50,3.75,"$1,323.75",85.04856938,"BULB: EDISON TEARDROP STYLE WITH HAIRPIN FILAMENT, 40W",Sundial Wire,Uncategorized,Bulbs,"bulbs, incandescent, lamp parts, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a classic Edison teardrop style bulb, clear, 5.25"" tall, 40 watts with hairpin style (also called single loop) tungsten filament.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not the other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 5.25""<br>Bulb Life: 3,000 hours<br>Bulb Type: ST19<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-edison-style-marconi-filament-60w,TRUE,active,BST19MA60,Default Title,,3,10.50,,$0.00,85.00037519,"BULB: EDISON STYLE WITH MARCONI FILAMENT, 60W",Sundial Wire,Home & Garden > Lighting > Light Bulbs > Incandescent Light Bulbs,Bulbs,"bulbs, incandescent, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a clear, vintage style bulb, 5.5"" tall, 60 watts, with hand-wound tungsten filament in the Marconi (also called squirrel cage) style with multiple supports.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. For those products, please see the related products listed below or go to <a href=""/collections/lamp-parts"">Lamp Parts</a> in the table of contents.</p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 5.5""<br>Bulb Life: 3,000 hours<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Title,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-radio-tube-style,,active,BT14CG40,"40 watts, no glaze",,20,9.00,3.75,$75.00,56.9995512,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
bulb-radio-tube-style,TRUE,active,BT14CGAMB30,"30 watts, amber glaze",,31,9.00,,$0.00,56.9995512,BULB: RADIO TUBE STYLE,Sundial Wire,Home & Garden > Lighting > Light Bulbs > Incandescent Light Bulbs,Bulbs,"bulbs, incandescent, lamp parts, medium base, Vintage Style Bulbs - Incandescent","<div id=""product-detail"">
<p>This is a clear, vintage style bulb, 4.3"" tall, 30 watts with an amber glaze and 40 watts, clear, with a tungsten cage style filament, multiple supports, in the radio tube style.</p>
<p>This bulb can be used with any medium-base socket. Dimmer sockets will dim the brightness just like any other bulb.</p>
<p>Please note that this listing is for just the bulb, not any other lamp parts shown. </p>
<h2>Attributes</h2>
<p>Bulb Base: Medium/Edison<br>Bulb Length: 4""<br>Bulb Life: 3,000 hours<br>Bulb Type: T14<br>Made in China</p>
<p><b>PLEASE NOTE THAT BULBS ARE NOT RETURNABLE.</b></p>
</div>",Watts and Glaze,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
light-bulb-cage,,active,CAGEAB,antique brass,,13,8.00,,$0.00,85.05140433,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
light-bulb-cage,TRUE,active,CAGEBK,black,,15,8.00,,$0.00,85.05140433,Bulb Cage,Sundial Wire,Home & Garden > Lighting > Lighting Fixtures,Bulb Cages,bulb cages,"<div id=""product-detail"">
<p>A light bulb cage with a screw-tight clamp, and an open/close bottom. 5.5"" tall, 4"" wide at widest point. It is available in black, brass, antique brass, nickel, and steel finishes.</p>
<p>Perfect for use with our sockets, particularly the Bakelite sockets, and any of our cloth-covered wire.</p>
<p>Please note this product is just the cage, not any other lamp parts pictured.</p>
<p>Please note this product sometimes has small inconsistencies in finish. It is an industrial-looking product.</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
light-bulb-cage,,active,CAGEBR,brass,,13,8.00,2.25,$29.25,85.05140433,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
light-bulb-cage,,active,CAGENK,nickel,,23,8.00,,$0.00,85.05140433,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
light-bulb-cage,,active,CAGEST,steel,,151,8.00,,$0.00,85.05140433,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-contemporary,,active,CANCONKBK,black,,21,6.00,3.25,$68.25,132.9989528,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-contemporary,TRUE,active,CANCONKBR,brass,,33,6.00,3.25,$107.25,132.9989528,"CEILING CANOPY KIT, CONTEMPORARY",Sundial Wire,Uncategorized,Canopies,"ceiling canopies, Contemporary Ceiling Canopies","<div id=""product-detail"">
<p>This is a contemporary ceiling canopy that comes in three finishes, black, brass, and nickel. It comes with a hardware kit. The canopy is 5 1/4"" in diameter, with a 7/16"" opening. The opening is the right size to accommodate our collar or screw top <a href=""/collections/strain-reliefs"">strain reliefs</a> or any other 1/8 IPS item. Please be sure to read about which strain relief is appropriate for the wire you are going to use with the canopy at <a href=""/collections/strain-reliefs"">our strain relief page</a>.</p>
The hardware kit contains:<br>
<ul style=""list-style-type: disc;"">
<li>1 Crossbar with a green ground screw</li>
<li>1 Nut and 1 locknut to attach a strain relief to the canopy</li>
<li>2 1"" bolts</li>
<li>2 1.5"" bolts</li>
<li>2 Acorn nuts that match the canopy's finish</li>
<li>1 Screw loop that matches the canopy's finish</li>
</ul>
<p>This product is the canopy and hardware kit only.  Wire, bulb and strain relief are not included. The other lamp parts shown in the pictures are all available in the wire and lamp parts listings.</p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-contemporary,,active,CANCONKNK,nickel,,12,6.00,3.25,$39.00,0,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-ribbed,,active,CANRIBKBK,black,,18,6.00,3.25,$58.50,124.9987174,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-ribbed,TRUE,active,CANRIBKBR,brass,,19,6.00,3.25,$61.75,124.9987174,"CEILING CANOPY KIT, RIBBED",Sundial Wire,Uncategorized,Canopies,"ceiling canopies, ribbed ceiling canopies","<div id=""product-detail"">
<p>This is a ribbed ceiling canopy that comes in three finishes, antique brass, brass, and nickel. It comes with a hardware kit. The canopy is 5"" in diameter, with a 7/16"" opening. The opening is the right size to accommodate our collar or screw top <a href=""/collections/strain-reliefs"">strain reliefs</a> or any other 1/8 IPS item. Please be sure to read about which strain relief is appropriate for the wire you are going to use with the canopy at <a href=""/collections/strain-reliefs"">our strain relief page</a>.</p>
The hardware kit contains:<br>
<ul style=""list-style-type: disc;"">
<li>1 Crossbar with a green ground screw</li>
<li>1 Nut and 1 locknut to attach a strain relief to the canopy</li>
<li>2 1"" bolts</li>
<li>2 1.5"" bolts</li>
<li>2 Acorn nuts that match the canopy's finish</li>
</ul>
<p><span>This product is the canopy and hardware kit only.  Wire, bulb and strain relief are not included. The other lamp parts shown in the pictures are all available in the wire and lamp parts listings.</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-ribbed,,active,CANRIBKBZ,antique brass,,75,6.00,3.25,$243.75,124.9987174,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-ribbed,,active,CANRIBKNK,nickel,,15,6.00,3.25,$48.75,124.9987174,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-smooth,TRUE,active,CANSMTHKBR,brass,,10,6.00,3.25,$32.50,124.9987174,"CEILING CANOPY KIT, SMOOTH",Sundial Wire,Uncategorized,Canopies,ceiling canopies,"<div id=""product-detail"">
<p>This is a smooth ceiling canopy that comes in three finishes, antique brass brass, and nickel. It comes with a hardware kit. The canopy is 5"" in diameter, with a 7/16"" opening. The opening is the right size to accommodate our collar or screw top <a href=""/collections/strain-reliefs"">strain reliefs</a> or any other 1/8 IPS item. Please be sure to read about which strain relief is appropriate for the wire you are going to use with the canopy at <a href=""/collections/strain-reliefs"">our strain relief page</a>.</p>
The hardware kit contains:<br>
<ul style=""list-style-type: disc;"">
<li>1 Crossbar with a green ground screw</li>
<li>1 Nut and 1 locknut to attach a strain relief to the canopy</li>
<li>2 1"" bolts</li>
<li>2 1.5"" bolts</li>
<li>2 Acorn nuts that match the canopy's finish</li>
</ul>
<p><span>This product is the canopy and hardware kit only.  Wire, bulb and strain relief are not included. The other lamp parts shown in the pictures are all available in the wire and lamp parts listings.</span></p>
</div>",Finish,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-smooth,,active,CANSMTHKBZ,antique brass,,18,6.00,3.25,$58.50,124.9987174,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
ceiling-canopy-kit-smooth,,active,CANSMTHKNK,nickel,,35,6.00,3.25,$113.75,124.9987174,,,,,,,,,,,,,,shopify,continue,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,,active,CCLEAT-GF,glazed,fair,0,6.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,,active,CCLEAT-GG,glazed,good,0,4.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,,active,CCLEAT-GNOS,glazed,new old stock,0,9.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,,active,CCLEAT-UF,unglazed,fair,0,6.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,TRUE,active,CCLEAT-UG,unglazed,good,0,4.00,0.25,$0.00,141.7476156,PORCELAIN CLEAT PAIR,Sundial Wire,,Knob & Tube,knob and tube,"<p>A cleat pair is used in<span> </span><span class=""glossary-knob-tube glossary-knob-tube-name"">knob and tube</span><span> </span>wiring to allow the wires to be strung along a wall or ceiling. It is made in two pieces with three channels between the two for two or three wires to fit in to be secured to a wall or ceiling. The cleats have holes for two nails to be used to anchor the cleat to the the wall or ceiling. For more information, please see our full description of<span> </span><a href=""/pages/all-about-cloth-covered-wire#g_knob_and_tube"" target=""_blank"" rel=""noopener noreferrer"">knob and tube</a><span> </span>wiring.</p>
<p><span>We don't always have all glazes and conditions of cleats.  When we are out of stock of a particular condition, the option will be grayed and crossed out.  It's best to give us a call to see if we are really out of the type you want.  The computer counts are not always accurate or we may be expecting a shipment.</span></p>
<p>This product is one pair of the ceramic pieces.  The wire is not included.  Please see the <a href=""/collections/knob-tube-wire-and-supplies"">Knob &amp; Tube Supplies collection</a> for more knob and tube items.</p>
<h2>Condition</h2>
<h3>New Old Stock</h3>
<p><span>If we find cleats that have never been used we call them new old stock.  They're in new, never-used condition but they were made decades if not a century ago.  We almost never find these, but very occasionally will come across some.</span></p>
<h3>Good</h3>
<p>Cleats classified as good may have slight chips, a little dirt.</p>
<h3>Fair</h3>
<p>Cleats in fair condition are still functional, but may have larger chips but no major breakage, and can have significant dirt, marks, and/or discoloration.</p>
<h2>We Buy These!</h2>
<p>See our<span> </span><a href=""/pages/we-are-buying"">We Are Buying page</a><span> </span>to see the steps to take to sell us knobs, tubes, and cleats.</p>",Glaze,,Condition,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-cleat-pair,,active,CCLEAT-UNOS,unglazed,new old stock,0,9.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-G1F,clamp 1-wire glazed,fair,0,2.00,0.25,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-G1G,clamp 1-wire glazed,good,0,3.00,0.50,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-G1NOS,clamp 1-wire glazed,new old stock,0,8.00,0.75,$0.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GF,clamp 2-wire glazed,fair,68,2.00,0.25,$17.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
porcelain-knob,,active,CKNOB-GG,clamp 2-wire glazed,good,208,3.00,0.50,$104.00,141.7476156,,,,,,,,,,,,,,shopify,deny,manual,,TRUE,TRUE,,,,oz,
